table_name,column_name,data_type,is_nullable
shared_folders,created_by,integer,YES
shared_folders,created_at,timestamp without time zone,NO
stickers,id,integer,NO
stickers,board_id,integer,NO
stickers,user_id,integer,YES
stickers,content,text,YES
stickers,color,character varying,YES
stickers,pos_x,integer,NO
stickers,pos_y,integer,NO
stickers,created_at,timestamp with time zone,YES
stickers,updated_at,timestamp with time zone,YES
subscription_history,id,integer,NO
subscription_history,user_id,integer,YES
subscription_history,plan_id,integer,NO
subscription_history,start_date,timestamp without time zone,NO
subscription_history,end_date,timestamp without time zone,YES
subscription_history,source,character varying,NO
subscription_history,promo_code_id,integer,YES
subscription_history,amount_paid,numeric,YES
subscription_history,payment_method,character varying,YES
subscription_history,currency,character varying,YES
subscription_history,transaction_id,character varying,YES
subscription_history,created_at,timestamp without time zone,YES
subscription_plans,id,integer,NO
subscription_plans,name,character varying,NO
subscription_plans,code_name,character varying,NO
subscription_plans,description,text,YES
subscription_plans,price_monthly,numeric,NO
subscription_plans,price_yearly,numeric,YES
subscription_plans,currency,character varying,YES
subscription_plans,session_limit,integer,NO
subscription_plans,features,jsonb,YES
subscription_plans,is_public,boolean,YES
subscription_plans,is_featured,boolean,YES
subscription_plans,display_order,integer,YES
subscription_plans,created_at,timestamp without time zone,YES
subscription_plans,updated_at,timestamp without time zone,YES
system_logs,id,integer,NO
system_logs,level,character varying,NO
system_logs,action,character varying,NO
system_logs,user_id,integer,YES
system_logs,details,jsonb,YES
system_logs,ip_address,character varying,YES
system_logs,created_at,timestamp without time zone,YES
telegram_link_codes,id,integer,NO
telegram_link_codes,user_id,integer,NO
telegram_link_codes,code,character varying,NO
telegram_link_codes,expires_at,timestamp without time zone,NO
telegram_link_codes,used,boolean,YES
telegram_link_codes,created_at,timestamp without time zone,YES
user_comments,id,integer,NO
user_comments,user_id,integer,NO
user_comments,content,text,NO
user_comments,color,character varying,YES
user_comments,created_at,timestamp with time zone,YES
user_comments,updated_at,timestamp with time zone,YES
user_verifications,id,integer,NO
user_verifications,user_id,integer,NO
user_verifications,full_name,character varying,NO
user_verifications,status,character varying,NO
user_verifications,rejection_reason,text,YES
user_verifications,submitted_at,timestamp without time zone,YES
user_verifications,processed_at,timestamp without time zone,YES
user_verifications,processed_by,integer,YES
user_verifications,referral_link,character varying,NO
user_verifications,pending_personal_id,character varying,YES
users,id,integer,NO
users,email,text,NO
users,password,text,NO
users,created_at,timestamp without time zone,YES
users,avatar_url,character varying,YES
users,updated_at,timestamp without time zone,YES
users,username,character varying,YES
users,country,text,YES
users,city,text,YES
users,office,text,YES
users,personal_id,character varying,YES
users,phone,character varying,YES
users,full_name,text,YES
users,telegram_user,text,YES
users,telegram_channel,text,YES
users,vk_profile,text,YES
users,ok_profile,text,YES
users,instagram_profile,text,YES
users,whatsapp_contact,text,YES
users,visibility_settings,jsonb,YES
users,search_settings,jsonb,YES
users,subscription_expires_at,timestamp without time zone,YES
users,subscription_started_at,timestamp without time zone,YES
users,is_trial_used,boolean,YES
users,payment_method,character varying,YES
users,auto_renew,boolean,YES
users,plan_id,integer,YES
users,telegram_chat_id,bigint,YES
users,role,character varying,YES
users,boards_locked,boolean,YES
users,boards_locked_at,timestamp without time zone,YES
users,email_verified,boolean,YES
users,is_verified,boolean,YES
users,verified_at,timestamp without time zone,YES
users,last_verification_attempt,timestamp without time zone,YES
users,ui_preferences,jsonb,YES
users,rank,character varying,YES
users,fohow_role,character varying,YES
users,blocked_users,jsonb,YES
users,bio,text,YES
users,website,character varying,YES
users,grace_period_until,timestamp without time zone,YES
verified_emails,id,integer,NO
verified_emails,email,character varying,NO
verified_emails,first_verified_at,timestamp without time zone,NO
verified_emails,user_id,integer,YES
verified_emails,notes,text,YES
verified_emails,created_at,timestamp without time zone,YES
